Country,Abbr,Indicator,Data
Austria,AT,"Average project size per participant types: Average project size for other participants, (€)", 257250.95 
Belgium,BE,"Average project size per participant types: Average project size for other participants, (€)", 227221.83 
Bulgaria,BG,"Average project size per participant types: Average project size for other participants, (€)", 101455.50 
Switzerland,CH,"Average project size per participant types: Average project size for other participants, (€)", 18625.41 
Cyprus,CY,"Average project size per participant types: Average project size for other participants, (€)", 203150.31 
Czechia (Czech Republic),CZ,"Average project size per participant types: Average project size for other participants, (€)", 26616.93 
Germany,DE,"Average project size per participant types: Average project size for other participants, (€)", 329946.95 
Denmark,DK,"Average project size per participant types: Average project size for other participants, (€)", 147371.96 
Estonia,EE,"Average project size per participant types: Average project size for other participants, (€)", 373365.92 
Greece,EL,"Average project size per participant types: Average project size for other participants, (€)", 134078.54 
Spain,ES,"Average project size per participant types: Average project size for other participants, (€)", 166966.35 
Finland,FI,"Average project size per participant types: Average project size for other participants, (€)", 125245.01 
France,FR,"Average project size per participant types: Average project size for other participants, (€)", 128725.93 
Croatia,HR,"Average project size per participant types: Average project size for other participants, (€)", 103155.12 
Hungary,HU,"Average project size per participant types: Average project size for other participants, (€)", 250499.91 
Ireland,IE,"Average project size per participant types: Average project size for other participants, (€)", 195684.50 
Iceland,IS,"Average project size per participant types: Average project size for other participants, (€)",
Italy,IT,"Average project size per participant types: Average project size for other participants, (€)", 496296.05 
Lithuania,LT,"Average project size per participant types: Average project size for other participants, (€)", 174689.86 
Luxembourg,LU,"Average project size per participant types: Average project size for other participants, (€)", 238766.72 
Latvia,LV,"Average project size per participant types: Average project size for other participants, (€)", 97498.64 
North Macedonia,MK,"Average project size per participant types: Average project size for other participants, (€)",
Malta,MT,"Average project size per participant types: Average project size for other participants, (€)",
Netherlands,NL,"Average project size per participant types: Average project size for other participants, (€)", 567455.64 
Norway,NO,"Average project size per participant types: Average project size for other participants, (€)", 106250.00 
Poland,PL,"Average project size per participant types: Average project size for other participants, (€)", 114759.19 
Portugal,PT,"Average project size per participant types: Average project size for other participants, (€)", 184179.63 
Romania,RO,"Average project size per participant types: Average project size for other participants, (€)",
Serbia,RS,"Average project size per participant types: Average project size for other participants, (€)", 298125.00 
Sweden,SE,"Average project size per participant types: Average project size for other participants, (€)", 287886.41 
Slovenia,SI,"Average project size per participant types: Average project size for other participants, (€)", 123883.77 
Slovakia,SK,"Average project size per participant types: Average project size for other participants, (€)", 53856.01 
Turkey,TR,"Average project size per participant types: Average project size for other participants, (€)",
United Kingdom,UK,"Average project size per participant types: Average project size for other participants, (€)", 248616.21 
