Country,Abbr,Indicator,Data
Austria,AT,"Status of the project per country: Ongoing projects per country,%",26.92%
Belgium,BE,"Status of the project per country: Ongoing projects per country,%",23.33%
Bulgaria,BG,"Status of the project per country: Ongoing projects per country,%",25.00%
Switzerland,CH,"Status of the project per country: Ongoing projects per country,%",33.33%
Cyprus,CY,"Status of the project per country: Ongoing projects per country,%",43.48%
Czechia (Czech Republic),CZ,"Status of the project per country: Ongoing projects per country,%",61.54%
Germany,DE,"Status of the project per country: Ongoing projects per country,%",26.37%
Denmark,DK,"Status of the project per country: Ongoing projects per country,%",52.94%
Estonia,EE,"Status of the project per country: Ongoing projects per country,%",42.86%
Greece,EL,"Status of the project per country: Ongoing projects per country,%",52.44%
Spain,ES,"Status of the project per country: Ongoing projects per country,%",30.58%
Finland,FI,"Status of the project per country: Ongoing projects per country,%",38.46%
France,FR,"Status of the project per country: Ongoing projects per country,%",38.14%
Croatia,HR,"Status of the project per country: Ongoing projects per country,%",42.86%
Hungary,HU,"Status of the project per country: Ongoing projects per country,%",26.67%
Ireland,IE,"Status of the project per country: Ongoing projects per country,%",42.86%
Italy,IT,"Status of the project per country: Ongoing projects per country,%",33.90%
Lithuania,LT,"Status of the project per country: Ongoing projects per country,%",46.15%
Luxembourg,LU,"Status of the project per country: Ongoing projects per country,%",42.86%
Latvia,LV,"Status of the project per country: Ongoing projects per country,%",28.57%
North Macedonia,MK,"Status of the project per country: Ongoing projects per country,%",100.00%
Malta,MT,"Status of the project per country: Ongoing projects per country,%",25.00%
Netherlands,NL,"Status of the project per country: Ongoing projects per country,%",32.14%
Norway,NO,"Status of the project per country: Ongoing projects per country,%",33.33%
Poland,PL,"Status of the project per country: Ongoing projects per country,%",32.14%
Portugal,PT,"Status of the project per country: Ongoing projects per country,%",39.29%
Romania,RO,"Status of the project per country: Ongoing projects per country,%",50.00%
Serbia,RS,"Status of the project per country: Ongoing projects per country,%",50.00%
Sweden,SE,"Status of the project per country: Ongoing projects per country,%",33.33%
Slovenia,SI,"Status of the project per country: Ongoing projects per country,%",17.65%
Slovakia,SK,"Status of the project per country: Ongoing projects per country,%",59.09%
Turkey,TR,"Status of the project per country: Ongoing projects per country,%",20.00%
United Kingdom,UK,"Status of the project per country: Ongoing projects per country,%",14.71%
