Country,Abbr,Indicator,Data
Belgium,BE,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",57%
Bulgaria,BG,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",43%
Czechia,CZ,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",47%
Denmark,DK,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",54%
Germany,DE,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",51%
Estonia,EE,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",40%
Ireland,IE,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",34%
Greece,EL,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",62%
Spain,ES,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",46%
France,FR,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",34%
Croatia,HR,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",20%
Italy,IT,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",47%
Cyprus,CY,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",43%
Latvia,LV,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",12%
Lithuania,LT,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",53%
Luxembourg,LU,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",37%
Hungary,HU,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",22%
Malta,MT,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",24%
Netherlands,NL,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",38%
Austria,AT,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",56%
Poland,PL,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",38%
Portugal,PT,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",40%
Romania,RO,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",59%
Slovenia,SI,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",40%
Slovakia,SK,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",51%
Finland,FI,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",35%
Sweden,SE,"Cybersecurity recruitment challenges: Share of companies reporting difficulties finding qualified Cybersecurity candidates, %",54%
