Country,Abbr,Indicator,Data
Austria,AT,"Status of the project per country: Closed projects per country,%",57.69%
Belgium,BE,"Status of the project per country: Closed projects per country,%",63.33%
Bulgaria,BG,"Status of the project per country: Closed projects per country,%",50.00%
Switzerland,CH,"Status of the project per country: Closed projects per country,%",66.67%
Cyprus,CY,"Status of the project per country: Closed projects per country,%",30.43%
Czechia (Czech Republic),CZ,"Status of the project per country: Closed projects per country,%",30.77%
Germany,DE,"Status of the project per country: Closed projects per country,%",62.64%
Denmark,DK,"Status of the project per country: Closed projects per country,%",47.06%
Estonia,EE,"Status of the project per country: Closed projects per country,%",35.71%
Greece,EL,"Status of the project per country: Closed projects per country,%",43.90%
Spain,ES,"Status of the project per country: Closed projects per country,%",63.64%
Finland,FI,"Status of the project per country: Closed projects per country,%",46.15%
France,FR,"Status of the project per country: Closed projects per country,%",52.58%
Croatia,HR,"Status of the project per country: Closed projects per country,%",14.29%
Hungary,HU,"Status of the project per country: Closed projects per country,%",53.33%
Ireland,IE,"Status of the project per country: Closed projects per country,%",46.43%
Italy,IT,"Status of the project per country: Closed projects per country,%",57.63%
Lithuania,LT,"Status of the project per country: Closed projects per country,%",30.77%
Luxembourg,LU,"Status of the project per country: Closed projects per country,%",42.86%
Latvia,LV,"Status of the project per country: Closed projects per country,%",71.43%
North Macedonia,MK,"Status of the project per country: Closed projects per country,%",0.00%
Malta,MT,"Status of the project per country: Closed projects per country,%",75.00%
Netherlands,NL,"Status of the project per country: Closed projects per country,%",66.07%
Norway,NO,"Status of the project per country: Closed projects per country,%",58.33%
Poland,PL,"Status of the project per country: Closed projects per country,%",50.00%
Portugal,PT,"Status of the project per country: Closed projects per country,%",53.57%
Romania,RO,"Status of the project per country: Closed projects per country,%",36.36%
Serbia,RS,"Status of the project per country: Closed projects per country,%",50.00%
Sweden,SE,"Status of the project per country: Closed projects per country,%",63.33%
Slovenia,SI,"Status of the project per country: Closed projects per country,%",58.82%
Slovakia,SK,"Status of the project per country: Closed projects per country,%",22.73%
Turkey,TR,"Status of the project per country: Closed projects per country,%",60.00%
United Kingdom,UK,"Status of the project per country: Closed projects per country,%",85.29%
