Country,Abbr,Indicator,Data
Austria,AT,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",26.23%
Belgium,BE,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",10.60%
Bulgaria,BG,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",13.21%
Switzerland,CH,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",27.01%
Cyprus,CY,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",7.66%
Czechia (Czech Republic),CZ,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",19.51%
Germany,DE,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",29.40%
Denmark,DK,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",10.29%
Estonia,EE,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",1.80%
Greece,EL,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",16.70%
Spain,ES,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",29.86%
Finland,FI,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",25.00%
France,FR,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",32.74%
Croatia,HR,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",25.00%
Hungary,HU,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",11.24%
Ireland,IE,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",22.86%
Iceland,IS,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",28.57%
Italy,IT,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",29.74%
Lithuania,LT,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",13.79%
Luxembourg,LU,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",37.82%
Latvia,LV,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",6.25%
North Macedonia,MK,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",0.00%
Malta,MT,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",3.57%
Netherlands,NL,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",20.34%
Norway,NO,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",21.91%
Poland,PL,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",13.90%
Portugal,PT,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",19.81%
Romania,RO,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",31.40%
Serbia,RS,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",13.64%
Sweden,SE,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",18.00%
Slovenia,SI,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",21.37%
Slovakia,SK,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",17.19%
Turkey,TR,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",33.93%
United Kingdom,UK,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project,%",17.60%
