Country,Abbr,Indicator,Data
Belgium,BE,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",36%
Bulgaria,BG,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",8%
Czechia,CZ,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",18%
Denmark,DK,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",16%
Germany,DE,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",5%
Estonia,EE,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",35%
Ireland,IE,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",27%
Greece,EL,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",43%
Spain,ES,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",59%
France,FR,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",12%
Croatia,HR,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",31%
Italy,IT,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",10%
Cyprus,CY,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",21%
Latvia,LV,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",17%
Lithuania,LT,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",7%
Luxembourg,LU,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",24%
Hungary,HU,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",20%
Malta,MT,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",33%
Netherlands,NL,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",11%
Austria,AT,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",9%
Poland,PL,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",33%
Portugal,PT,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",15%
Romania,RO,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",39%
Slovenia,SI,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",13%
Slovakia,SK,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",11%
Finland,FI,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",17%
Sweden,SE,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies, %",16%
