Country,Abbr,Indicator,Data
Belgium,BE,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",17%
Bulgaria,BG,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",16%
Czechia,CZ,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",13%
Denmark,DK,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",7%
Germany,DE,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",16%
Estonia,EE,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",9%
Ireland,IE,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",16%
Greece,EL,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",22%
Spain,ES,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",17%
France,FR,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",12%
Croatia,HR,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",15%
Italy,IT,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",20%
Cyprus,CY,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",24%
Latvia,LV,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",8%
Lithuania,LT,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",9%
Luxembourg,LU,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",15%
Hungary,HU,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",7%
Malta,MT,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",21%
Netherlands,NL,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",10%
Austria,AT,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",11%
Poland,PL,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",6%
Portugal,PT,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",32%
Romania,RO,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",13%
Slovenia,SI,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",19%
Slovakia,SK,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",16%
Finland,FI,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",19%
Sweden,SE,"Most critical Cybersecurity skills: Share of companies identifying cybersecurity awareness, training, and education needs",21%
