Country,Abbr,Indicator,Data
Belgium,BE,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",57%
Bulgaria,BG,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",62%
Czechia,CZ,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",69%
Denmark,DK,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",61%
Germany,DE,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",53%
Estonia,EE,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",78%
Ireland,IE,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",33%
Greece,EL,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",32%
Spain,ES,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",79%
France,FR,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",46%
Croatia,HR,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",56%
Italy,IT,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",66%
Cyprus,CY,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",19%
Latvia,LV,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",53%
Lithuania,LT,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",49%
Luxembourg,LU,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",49%
Hungary,HU,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",42%
Malta,MT,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",39%
Netherlands,NL,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",57%
Austria,AT,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",55%
Poland,PL,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",53%
Portugal,PT,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",59%
Romania,RO,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",55%
Slovenia,SI,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",50%
Slovakia,SK,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",84%
Finland,FI,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",46%
Sweden,SE,"Pathways to cybersecurity employment:
Share of companies integrating Cybersecurity roles into existing non-Cybersecurity positions, %",29%
