Country,Abbr,Indicator,Data
Belgium,BE,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",5%
Bulgaria,BG,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",4%
Czechia,CZ,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",5%
Denmark,DK,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",8%
Germany,DE,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",7%
Estonia,EE,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",8%
Ireland,IE,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",10%
Greece,EL,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",9%
Spain,ES,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",4%
France,FR,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",4%
Croatia,HR,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",3%
Italy,IT,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",7%
Cyprus,CY,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",11%
Latvia,LV,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",4%
Lithuania,LT,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",8%
Luxembourg,LU,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",15%
Hungary,HU,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",8%
Malta,MT,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",10%
Netherlands,NL,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",7%
Austria,AT,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",8%
Poland,PL,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",15%
Portugal,PT,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",9%
Romania,RO,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",12%
Slovenia,SI,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",5%
Slovakia,SK,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",9%
Finland,FI,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",5%
Sweden,SE,"Most critical Cybersecurity skills: Share of companies prioritising code, script, and program development skills",8%
