Country,Abbr,Indicator,Data
Austria,AT,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",28.52%
Belgium,BE,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",12.07%
Bulgaria,BG,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",5.66%
Switzerland,CH,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",10.43%
Cyprus,CY,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",2.55%
Czechia (Czech Republic),CZ,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",19.51%
Germany,DE,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",6.39%
Denmark,DK,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",5.15%
Estonia,EE,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",4.50%
Greece,EL,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",29.02%
Spain,ES,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",20.47%
Finland,FI,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",13.81%
France,FR,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",15.75%
Croatia,HR,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",17.65%
Hungary,HU,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",11.24%
Ireland,IE,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",0.82%
Iceland,IS,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",0.00%
Italy,IT,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",18.79%
Lithuania,LT,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",4.31%
Luxembourg,LU,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",11.76%
Latvia,LV,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",18.75%
North Macedonia,MK,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",0.00%
Malta,MT,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",0.00%
Netherlands,NL,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",13.37%
Norway,NO,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",20.79%
Poland,PL,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",26.01%
Portugal,PT,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",16.88%
Romania,RO,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",5.43%
Serbia,RS,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",6.82%
Sweden,SE,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",14.80%
Slovenia,SI,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",15.27%
Slovakia,SK,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",4.69%
Turkey,TR,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",14.29%
United Kingdom,UK,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects,%",3.65%
