Country,Abbr,Indicator,Data
Austria,AT,"Average project size by country, (€)", 635533.58 
Belgium,BE,"Average project size by country, (€)", 563810.01 
Bulgaria,BG,"Average project size by country, (€)", 255846.22 
Switzerland,CH,"Average project size by country, (€)", 234638.92 
Cyprus,CY,"Average project size by country, (€)", 460810.53 
Czechia (Czech Republic),CZ,"Average project size by country, (€)", 464734.53 
Germany,DE,"Average project size by country, (€)", 964779.24 
Denmark,DK,"Average project size by country, (€)", 785277.44 
Estonia,EE,"Average project size by country, (€)", 682614.70 
Greece,EL,"Average project size by country, (€)", 845944.46 
Spain,ES,"Average project size by country, (€)", 986813.80 
Finland,FI,"Average project size by country, (€)", 820408.12 
France,FR,"Average project size by country, (€)", 1013374.12 
Croatia,HR,"Average project size by country, (€)", 629939.59 
Hungary,HU,"Average project size by country, (€)", 338005.17 
Ireland,IE,"Average project size by country, (€)", 621325.82 
Iceland,IS,"Average project size by country, (€)", 537927.46 
Italy,IT,"Average project size by country, (€)", 953922.14 
Lithuania,LT,"Average project size by country, (€)", 479390.05 
Luxembourg,LU,"Average project size by country, (€)", 395804.52 
Latvia,LV,"Average project size by country, (€)", 451571.92 
North Macedonia,MK,"Average project size by country, (€)", 164062.32 
Malta,MT,"Average project size by country, (€)", 397820.47 
Netherlands,NL,"Average project size by country, (€)", 1050313.11 
Norway,NO,"Average project size by country, (€)", 927298.66 
Poland,PL,"Average project size by country, (€)", 585616.20 
Portugal,PT,"Average project size by country, (€)", 506912.35 
Romania,RO,"Average project size by country, (€)", 364150.41 
Serbia,RS,"Average project size by country, (€)", 384595.16 
Sweden,SE,"Average project size by country, (€)", 654023.39 
Slovenia,SI,"Average project size by country, (€)", 434200.03 
Slovakia,SK,"Average project size by country, (€)", 293957.88 
Turkey,TR,"Average project size by country, (€)", 624596.54 
United Kingdom,UK,"Average project size by country, (€)", 515565.04 
