Country,Abbr,Indicator,Data
Belgium,BE,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",10%
Bulgaria,BG,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",2%
Czechia,CZ,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",2%
Denmark,DK,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",5%
Germany,DE,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",7%
Estonia,EE,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",3%
Ireland,IE,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",9%
Greece,EL,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",7%
Spain,ES,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",10%
France,FR,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",1%
Croatia,HR,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",3%
Italy,IT,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",13%
Cyprus,CY,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",6%
Latvia,LV,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",1%
Lithuania,LT,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",11%
Luxembourg,LU,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",8%
Hungary,HU,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",2%
Malta,MT,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",9%
Netherlands,NL,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",6%
Austria,AT,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",6%
Poland,PL,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",5%
Portugal,PT,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",9%
Romania,RO,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",9%
Slovenia,SI,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",12%
Slovakia,SK,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",12%
Finland,FI,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",2%
Sweden,SE,"Top in-demand Cybersecurity positions: Share of companies ranking Cyber security researcher as most important role,%",2%
