Country,Abbr,Indicator,Data
Belgium,BE,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",20%
Bulgaria,BG,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",6%
Czechia,CZ,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",14%
Denmark,DK,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",32%
Germany,DE,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",21%
Estonia,EE,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",4%
Ireland,IE,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",19%
Greece,EL,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",16%
Spain,ES,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",21%
France,FR,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",7%
Croatia,HR,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",9%
Italy,IT,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",9%
Cyprus,CY,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",34%
Latvia,LV,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",10%
Lithuania,LT,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",23%
Luxembourg,LU,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",26%
Hungary,HU,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",2%
Malta,MT,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",15%
Netherlands,NL,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",10%
Austria,AT,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",12%
Poland,PL,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",1%
Portugal,PT,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",0%
Romania,RO,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",17%
Slovenia,SI,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",4%
Slovakia,SK,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",28%
Finland,FI,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",16%
Sweden,SE,"Cybersecurity recruitment challenges: Share of companies mentioning the competing environment for cybersecurity talent, %",39%
