Country,Abbr,Indicator,Data
Austria,AT,"Share of tenders per country, %",0.60%
Belgium,BE,"Share of tenders per country, %",1.80%
Bulgaria,BG,"Share of tenders per country, %",0.10%
Switzerland,CH,"Share of tenders per country, %",0.80%
Czechia (Czech Republic),CZ,"Share of tenders per country, %",1.00%
Germany,DE,"Share of tenders per country, %",2.80%
Denmark,DK,"Share of tenders per country, %",0.40%
Estonia,EE,"Share of tenders per country, %",0.70%
Spain,ES,"Share of tenders per country, %",0.80%
Finland,FI,"Share of tenders per country, %",0.20%
France,FR,"Share of tenders per country, %",2.10%
Greece,EL,"Share of tenders per country, %",0.40%
Croatia,HR,"Share of tenders per country, %",0.10%
Hungary,HU,"Share of tenders per country, %",0.30%
Ireland,IE,"Share of tenders per country, %",1.30%
Italy,IT,"Share of tenders per country, %",7.90%
Lithuania,LT,"Share of tenders per country, %",0.10%
Luxembourg,LU,"Share of tenders per country, %",0.10%
Latvia,LV,"Share of tenders per country, %",0.20%
North Macedonia,MK,"Share of tenders per country, %",0.30%
Malta,MT,"Share of tenders per country, %",0.30%
Netherlands,NL,"Share of tenders per country, %",0.70%
Norway,NO,"Share of tenders per country, %",1.10%
Poland,PL,"Share of tenders per country, %",47.70%
Portugal,PT,"Share of tenders per country, %",0.20%
Romania,RO,"Share of tenders per country, %",0.20%
Serbia,RS,"Share of tenders per country, %",0.20%
Sweden,SE,"Share of tenders per country, %",0.70%
United Kingdom,UK,"Share of tenders per country, %",26.60%
