Country,Abbr,Indicator,Data
Austria,AT,"Supply type distribution:Services distribution, %",83%
Belgium,BE,"Supply type distribution:Services distribution, %",100%
Bulgaria,BG,"Supply type distribution:Services distribution, %",0%
Switzerland,CH,"Supply type distribution:Services distribution, %",71%
Czechia (Czech Republic),CZ,"Supply type distribution:Services distribution, %",44%
Germany,DE,"Supply type distribution:Services distribution, %",69%
Denmark,DK,"Supply type distribution:Services distribution, %",100%
Estonia,EE,"Supply type distribution:Services distribution, %",67%
Spain,ES,"Supply type distribution:Services distribution, %",86%
Finland,FI,"Supply type distribution:Services distribution, %",50%
France,FR,"Supply type distribution:Services distribution, %",89%
Greece,EL,"Supply type distribution:Services distribution, %",100%
Croatia,HR,"Supply type distribution:Services distribution, %",0%
Hungary,HU,"Supply type distribution:Services distribution, %",33%
Ireland,IE,"Supply type distribution:Services distribution, %",85%
Italy,IT,"Supply type distribution:Services distribution, %",75%
Lithuania,LT,"Supply type distribution:Services distribution, %",100%
Luxembourg,LU,"Supply type distribution:Services distribution, %",100%
Latvia,LV,"Supply type distribution:Services distribution, %",
North Macedonia,MK,"Supply type distribution:Services distribution, %",67%
Malta,MT,"Supply type distribution:Services distribution, %",50%
Netherlands,NL,"Supply type distribution:Services distribution, %",100%
Norway,NO,"Supply type distribution:Services distribution, %",90%
Poland,PL,"Supply type distribution:Services distribution, %",26%
Portugal,PT,"Supply type distribution:Services distribution, %",100%
Romania,RO,"Supply type distribution:Services distribution, %",0%
Serbia,RS,"Supply type distribution:Services distribution, %",50%
Sweden,SE,"Supply type distribution:Services distribution, %",57%
United Kingdom,UK,"Supply type distribution:Services distribution, %",83%
