Country,Abbr,Indicator,Data
Austria,AT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",26.72%
Belgium,BE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",12.78%
Bulgaria,BG,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",8.15%
Switzerland,CH,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",24.62%
Cyprus,CY,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",5.10%
Czechia (Czech Republic),CZ,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",20.29%
Germany,DE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",31.13%
Denmark,DK,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",16.75%
Estonia,EE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",0.80%
Greece,EL,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",16.88%
Spain,ES,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",31.48%
Finland,FI,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",16.08%
France,FR,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",38.24%
Croatia,HR,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",35.12%
Hungary,HU,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",18.61%
Ireland,IE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",24.57%
Iceland,IS,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",25.65%
Italy,IT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",38.53%
Lithuania,LT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",8.59%
Luxembourg,LU,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",47.12%
Latvia,LV,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",20.19%
North Macedonia,MK,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",0.00%
Malta,MT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",4.01%
Netherlands,NL,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",13.70%
Norway,NO,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",34.41%
Poland,PL,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",11.43%
Portugal,PT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",21.54%
Romania,RO,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",34.14%
Serbia,RS,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",9.99%
Sweden,SE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",14.30%
Slovenia,SI,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",12.10%
Slovakia,SK,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",8.31%
Turkey,TR,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",21.08%
United Kingdom,UK,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to private companies,%",16.29%
