Country,Abbr,Indicator,Data
Austria,AT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",35.44%
Belgium,BE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",10.16%
Bulgaria,BG,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",8.00%
Switzerland,CH,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",12.41%
Cyprus,CY,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",2.03%
Czechia (Czech Republic),CZ,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",20.00%
Germany,DE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",5.35%
Denmark,DK,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",2.31%
Estonia,EE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",4.18%
Greece,EL,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",30.75%
Spain,ES,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",20.96%
Finland,FI,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",12.55%
France,FR,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",21.35%
Croatia,HR,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",8.16%
Hungary,HU,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",9.78%
Ireland,IE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",2.38%
Iceland,IS,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",0.00%
Italy,IT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",13.39%
Lithuania,LT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",2.22%
Luxembourg,LU,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",8.11%
Latvia,LV,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",13.47%
North Macedonia,MK,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",0.00%
Malta,MT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",0.00%
Netherlands,NL,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",7.95%
Norway,NO,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",20.77%
Poland,PL,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",25.22%
Portugal,PT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",22.23%
Romania,RO,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",3.36%
Serbia,RS,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",7.46%
Sweden,SE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",13.11%
Slovenia,SI,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",33.95%
Slovakia,SK,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",0.15%
Turkey,TR,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",6.43%
United Kingdom,UK,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to research institutions,%",2.39%
