Country,Abbr,Indicator,Data
Austria,AT,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",2.95%
Belgium,BE,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",6.95%
Bulgaria,BG,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",16.98%
Switzerland,CH,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",2.84%
Cyprus,CY,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",3.28%
Czechia (Czech Republic),CZ,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",7.93%
Germany,DE,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",16.22%
Denmark,DK,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",2.94%
Estonia,EE,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",6.31%
Greece,EL,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",1.57%
Spain,ES,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",1.85%
Finland,FI,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",1.87%
France,FR,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",1.25%
Croatia,HR,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",2.94%
Hungary,HU,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",3.37%
Ireland,IE,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",0.82%
Iceland,IS,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",0.00%
Italy,IT,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",1.11%
Lithuania,LT,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",9.48%
Luxembourg,LU,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",0.84%
Latvia,LV,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",4.69%
North Macedonia,MK,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",0.00%
Malta,MT,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",3.57%
Netherlands,NL,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",2.64%
Norway,NO,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",4.49%
Poland,PL,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",6.28%
Portugal,PT,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",3.25%
Romania,RO,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",9.30%
Serbia,RS,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",13.64%
Sweden,SE,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",1.20%
Slovenia,SI,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",5.34%
Slovakia,SK,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",12.50%
Turkey,TR,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",5.36%
United Kingdom,UK,"Share of participant types receiving grants for Cybersecurity projects: Share of NGOs receiving grants for cybersecurity projects,%",0.86%
