Country,Abbr,Indicator,Data
Austria,AT,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",12.79%
Belgium,BE,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",31.26%
Bulgaria,BG,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",32.08%
Switzerland,CH,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",31.75%
Cyprus,CY,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",58.76%
Czechia (Czech Republic),CZ,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",10.98%
Germany,DE,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",18.29%
Denmark,DK,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",27.21%
Estonia,EE,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",28.83%
Greece,EL,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",25.57%
Spain,ES,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",19.36%
Finland,FI,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",17.16%
France,FR,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",22.73%
Croatia,HR,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",5.88%
Hungary,HU,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",25.84%
Ireland,IE,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",36.73%
Iceland,IS,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",28.57%
Italy,IT,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",21.33%
Lithuania,LT,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",9.48%
Luxembourg,LU,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",27.73%
Latvia,LV,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",18.75%
North Macedonia,MK,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",0.00%
Malta,MT,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",14.29%
Netherlands,NL,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",20.90%
Norway,NO,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",14.61%
Poland,PL,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",25.11%
Portugal,PT,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",22.08%
Romania,RO,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",20.16%
Serbia,RS,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",27.27%
Sweden,SE,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",17.20%
Slovenia,SI,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",24.43%
Slovakia,SK,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",14.06%
Turkey,TR,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",16.07%
United Kingdom,UK,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects,%",25.97%
