Country,Abbr,Indicator,Data
Belgium,BE,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,29%
Bulgaria,BG,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,15%
Czechia,CZ,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,18%
Denmark,DK,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,19%
Germany,DE,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,13%
Estonia,EE,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,18%
Ireland,IE,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,13%
Greece,EL,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,28%
Spain,ES,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,23%
France,FR,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,12%
Croatia,HR,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,10%
Italy,IT,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,29%
Cyprus,CY,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,28%
Latvia,LV,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,17%
Lithuania,LT,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,26%
Luxembourg,LU,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,14%
Hungary,HU,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,24%
Malta,MT,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,17%
Netherlands,NL,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,15%
Austria,AT,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,13%
Poland,PL,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,17%
Portugal,PT,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,37%
Romania,RO,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,15%
Slovenia,SI,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,16%
Slovakia,SK,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,25%
Finland,FI,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,32%
Sweden,SE,Most critical Cybersecurity skills: Share of companies focusing on identification and resolution of cybersecurity issues,29%
