Country,Abbr,Indicator,Data
Austria,AT,"Average project size per participant types: Average project size for private companies, (€)", 405377.00 
Belgium,BE,"Average project size per participant types: Average project size for private companies, (€)", 401325.77 
Bulgaria,BG,"Average project size per participant types: Average project size for private companies, (€)", 99804.59 
Switzerland,CH,"Average project size per participant types: Average project size for private companies, (€)", 158097.97 
Cyprus,CY,"Average project size per participant types: Average project size for private companies, (€)", 184631.12 
Czechia (Czech Republic),CZ,"Average project size per participant types: Average project size for private companies, (€)", 277004.18 
Germany,DE,"Average project size per participant types: Average project size for private companies, (€)", 463038.87 
Denmark,DK,"Average project size per participant types: Average project size for private companies, (€)", 789312.01 
Estonia,EE,"Average project size per participant types: Average project size for private companies, (€)", 207847.50 
Greece,EL,"Average project size per participant types: Average project size for private companies, (€)", 305202.54 
Spain,ES,"Average project size per participant types: Average project size for private companies, (€)", 354484.34 
Finland,FI,"Average project size per participant types: Average project size for private companies, (€)", 251957.47 
France,FR,"Average project size per participant types: Average project size for private companies, (€)", 491195.78 
Croatia,HR,"Average project size per participant types: Average project size for private companies, (€)", 585627.22 
Hungary,HU,"Average project size per participant types: Average project size for private companies, (€)", 408962.40 
Ireland,IE,"Average project size per participant types: Average project size for private companies, (€)", 466080.78 
Iceland,IS,"Average project size per participant types: Average project size for private companies, (€)", 413915.42 
Italy,IT,"Average project size per participant types: Average project size for private companies, (€)", 433197.72 
Lithuania,LT,"Average project size per participant types: Average project size for private companies, (€)", 146635.47 
Luxembourg,LU,"Average project size per participant types: Average project size for private companies, (€)", 393746.36 
Latvia,LV,"Average project size per participant types: Average project size for private companies, (€)", 888944.83 
North Macedonia,MK,"Average project size per participant types: Average project size for private companies, (€)",
Malta,MT,"Average project size per participant types: Average project size for private companies, (€)", 383125.00 
Netherlands,NL,"Average project size per participant types: Average project size for private companies, (€)", 369121.59 
Norway,NO,"Average project size per participant types: Average project size for private companies, (€)", 883733.17 
Poland,PL,"Average project size per participant types: Average project size for private companies, (€)", 328326.28 
Portugal,PT,"Average project size per participant types: Average project size for private companies, (€)", 300766.30 
Romania,RO,"Average project size per participant types: Average project size for private companies, (€)", 230214.85 
Serbia,RS,"Average project size per participant types: Average project size for private companies, (€)", 224153.13 
Sweden,SE,"Average project size per participant types: Average project size for private companies, (€)", 307515.72 
Slovenia,SI,"Average project size per participant types: Average project size for private companies, (€)", 137003.61 
Slovakia,SK,"Average project size per participant types: Average project size for private companies, (€)", 119907.93 
Turkey,TR,"Average project size per participant types: Average project size for private companies, (€)", 256428.70 
United Kingdom,UK,"Average project size per participant types: Average project size for private companies, (€)", 274554.03 
