Country,Abbr,Indicator,Data
Austria,AT,"Average project size per participant types: Average project size for SMEs,(€)", 303287.49 
Belgium,BE,"Average project size per participant types: Average project size for SMEs,(€)", 386064.32 
Bulgaria,BG,"Average project size per participant types: Average project size for SMEs,(€)", 198525.26 
Switzerland,CH,"Average project size per participant types: Average project size for SMEs,(€)", 197031.88 
Cyprus,CY,"Average project size per participant types: Average project size for SMEs,(€)", 298332.32 
Czechia (Czech Republic),CZ,"Average project size per participant types: Average project size for SMEs,(€)", 159572.81 
Germany,DE,"Average project size per participant types: Average project size for SMEs,(€)", 364145.07 
Denmark,DK,"Average project size per participant types: Average project size for SMEs,(€)", 695613.62 
Estonia,EE,"Average project size per participant types: Average project size for SMEs,(€)", 897287.52 
Greece,EL,"Average project size per participant types: Average project size for SMEs,(€)", 318362.30 
Spain,ES,"Average project size per participant types: Average project size for SMEs,(€)", 300723.00 
Finland,FI,"Average project size per participant types: Average project size for SMEs,(€)", 367875.95 
France,FR,"Average project size per participant types: Average project size for SMEs,(€)", 347169.71 
Croatia,HR,"Average project size per participant types: Average project size for SMEs,(€)", 70658.13 
Hungary,HU,"Average project size per participant types: Average project size for SMEs,(€)", 301371.56 
Ireland,IE,"Average project size per participant types: Average project size for SMEs,(€)", 324273.87 
Iceland,IS,"Average project size per participant types: Average project size for SMEs,(€)", 1124124.97 
Italy,IT,"Average project size per participant types: Average project size for SMEs,(€)", 237093.06 
Lithuania,LT,"Average project size per participant types: Average project size for SMEs,(€)", 261169.62 
Luxembourg,LU,"Average project size per participant types: Average project size for SMEs,(€)", 241870.11 
Latvia,LV,"Average project size per participant types: Average project size for SMEs,(€)", 126124.85 
North Macedonia,MK,"Average project size per participant types: Average project size for SMEs,(€)",
Malta,MT,"Average project size per participant types: Average project size for SMEs,(€)", 661642.85 
Netherlands,NL,"Average project size per participant types: Average project size for SMEs,(€)", 1228657.85 
Norway,NO,"Average project size per participant types: Average project size for SMEs,(€)", 442163.09 
Poland,PL,"Average project size per participant types: Average project size for SMEs,(€)", 526987.79 
Portugal,PT,"Average project size per participant types: Average project size for SMEs,(€)", 285215.79 
Romania,RO,"Average project size per participant types: Average project size for SMEs,(€)", 263282.22 
Serbia,RS,"Average project size per participant types: Average project size for SMEs,(€)", 224767.19 
Sweden,SE,"Average project size per participant types: Average project size for SMEs,(€)", 303188.59 
Slovenia,SI,"Average project size per participant types: Average project size for SMEs,(€)", 294053.35 
Slovakia,SK,"Average project size per participant types: Average project size for SMEs,(€)", 347521.22 
Turkey,TR,"Average project size per participant types: Average project size for SMEs,(€)", 195563.21 
United Kingdom,UK,"Average project size per participant types: Average project size for SMEs,(€)", 281517.18 
