Country,Abbr,Indicator,Data
Austria,AT,Average tender size,461511.80
Belgium,BE,Average tender size,80760.36
Bulgaria,BG,Average tender size,511221.00
Switzerland,CH,Average tender size,59215.50
Czechia (Czech Republic),CZ,Average tender size,919069.40
Germany,DE,Average tender size,394674.35
Denmark,DK,Average tender size,164305.75
Estonia,EE,Average tender size,54321.80
Spain,ES,Average tender size,284282.78
Finland,FI,Average tender size,2075000.00
France,FR,Average tender size,445828.03
Greece,EL,Average tender size,49401.63
Croatia,HR,Average tender size,885896.00
Hungary,HU,Average tender size,199545.33
Ireland,IE,Average tender size,275329.54
Italy,IT,Average tender size,136883.75
Lithuania,LT,Average tender size,230000.00
Luxembourg,LU,Average tender size,1830000.00
Latvia,LV,Average tender size,
North Macedonia,MK,Average tender size,68030.33
Malta,MT,Average tender size,67330.00
Netherlands,NL,Average tender size,563802.86
Norway,NO,Average tender size,954719.82
Poland,PL,Average tender size,145018.42
Portugal,PT,Average tender size,306000.00
Romania,RO,Average tender size,200083.50
Serbia,RS,Average tender size,889599.50
Sweden,SE,Average tender size,253688.43
United Kingdom,UK,Average tender size,202196.53
