Country,Abbr,Indicator,Data
Austria,AT,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",5.90%
Belgium,BE,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",6.22%
Bulgaria,BG,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",16.04%
Switzerland,CH,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",3.32%
Cyprus,CY,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",10.95%
Czechia (Czech Republic),CZ,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",6.71%
Germany,DE,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",2.95%
Denmark,DK,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",9.56%
Estonia,EE,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",17.12%
Greece,EL,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",7.72%
Spain,ES,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",9.02%
Finland,FI,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",5.60%
France,FR,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",5.01%
Croatia,HR,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",35.29%
Hungary,HU,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",13.48%
Ireland,IE,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",6.53%
Iceland,IS,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",14.29%
Italy,IT,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",5.00%
Lithuania,LT,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",23.28%
Luxembourg,LU,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",2.52%
Latvia,LV,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",25.00%
North Macedonia,MK,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",33.33%
Malta,MT,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",42.86%
Netherlands,NL,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",6.40%
Norway,NO,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",8.43%
Poland,PL,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",6.28%
Portugal,PT,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",18.18%
Romania,RO,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",19.38%
Serbia,RS,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",6.82%
Sweden,SE,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",13.20%
Slovenia,SI,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",12.98%
Slovakia,SK,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",17.19%
Turkey,TR,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",17.86%
United Kingdom,UK,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects,%",6.01%
