Country,Abbr,Indicator,Data
Austria,AT,"Average project size per participant types: Average project size for public entities, (€)", 138572.89 
Belgium,BE,"Average project size per participant types: Average project size for public entities, (€)", 171262.74 
Bulgaria,BG,"Average project size per participant types: Average project size for public entities, (€)", 153182.28 
Switzerland,CH,"Average project size per participant types: Average project size for public entities, (€)", 112894.00 
Cyprus,CY,"Average project size per participant types: Average project size for public entities, (€)", 233345.27 
Czechia (Czech Republic),CZ,"Average project size per participant types: Average project size for public entities, (€)", 225616.25 
Germany,DE,"Average project size per participant types: Average project size for public entities, (€)", 211375.51 
Denmark,DK,"Average project size per participant types: Average project size for public entities, (€)", 449544.72 
Estonia,EE,"Average project size per participant types: Average project size for public entities, (€)", 167129.11 
Greece,EL,"Average project size per participant types: Average project size for public entities, (€)", 160629.75 
Spain,ES,"Average project size per participant types: Average project size for public entities, (€)", 227535.62 
Finland,FI,"Average project size per participant types: Average project size for public entities, (€)", 355363.78 
France,FR,"Average project size per participant types: Average project size for public entities, (€)", 321226.18 
Croatia,HR,"Average project size per participant types: Average project size for public entities, (€)", 164671.59 
Hungary,HU,"Average project size per participant types: Average project size for public entities, (€)", 87621.34 
Ireland,IE,"Average project size per participant types: Average project size for public entities, (€)", 712562.78 
Iceland,IS,"Average project size per participant types: Average project size for public entities, (€)", 23700.00 
Italy,IT,"Average project size per participant types: Average project size for public entities, (€)", 228673.71 
Lithuania,LT,"Average project size per participant types: Average project size for public entities, (€)", 223193.49 
Luxembourg,LU,"Average project size per participant types: Average project size for public entities, (€)", 142280.04 
Latvia,LV,"Average project size per participant types: Average project size for public entities, (€)", 263734.48 
North Macedonia,MK,"Average project size per participant types: Average project size for public entities, (€)", 42178.08 
Malta,MT,"Average project size per participant types: Average project size for public entities, (€)", 325948.89 
Netherlands,NL,"Average project size per participant types: Average project size for public entities, (€)", 311589.96 
Norway,NO,"Average project size per participant types: Average project size for public entities, (€)", 573705.13 
Poland,PL,"Average project size per participant types: Average project size for public entities, (€)", 148622.30 
Portugal,PT,"Average project size per participant types: Average project size for public entities, (€)", 160085.34 
Romania,RO,"Average project size per participant types: Average project size for public entities, (€)", 131261.35 
Serbia,RS,"Average project size per participant types: Average project size for public entities, (€)", 74450.00 
Sweden,SE,"Average project size per participant types: Average project size for public entities, (€)", 663001.48 
Slovenia,SI,"Average project size per participant types: Average project size for public entities, (€)", 103974.95 
Slovakia,SK,"Average project size per participant types: Average project size for public entities, (€)", 165029.50 
Turkey,TR,"Average project size per participant types: Average project size for public entities, (€)", 803653.00 
United Kingdom,UK,"Average project size per participant types: Average project size for public entities, (€)", 183606.31 
