Country,Abbr,Indicator,Data
Belgium,BE,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",8%
Bulgaria,BG,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",10%
Czechia,CZ,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",8%
Denmark,DK,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",5%
Germany,DE,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",10%
Estonia,EE,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",6%
Ireland,IE,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",8%
Greece,EL,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",13%
Spain,ES,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",14%
France,FR,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",3%
Croatia,HR,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",3%
Italy,IT,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",12%
Cyprus,CY,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",24%
Latvia,LV,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",5%
Lithuania,LT,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",18%
Luxembourg,LU,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",12%
Hungary,HU,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",6%
Malta,MT,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",6%
Netherlands,NL,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",21%
Austria,AT,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",25%
Poland,PL,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",10%
Portugal,PT,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",17%
Romania,RO,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",8%
Slovenia,SI,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",3%
Slovakia,SK,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",7%
Finland,FI,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",3%
Sweden,SE,"Top in-demand Cybersecurity positions: Share of companies ranking security inspector, auditor as most important role,%",4%
