Country,Abbr,Indicator,Data
Belgium,BE,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",28%
Bulgaria,BG,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",30%
Czechia,CZ,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",17%
Denmark,DK,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",15%
Germany,DE,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",18%
Estonia,EE,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",31%
Ireland,IE,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",34%
Greece,EL,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",16%
Spain,ES,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",18%
France,FR,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",0%
Croatia,HR,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",15%
Italy,IT,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",28%
Cyprus,CY,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",7%
Latvia,LV,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",24%
Lithuania,LT,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",51%
Luxembourg,LU,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",40%
Hungary,HU,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",51%
Malta,MT,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",36%
Netherlands,NL,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",5%
Austria,AT,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",7%
Poland,PL,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",34%
Portugal,PT,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",37%
Romania,RO,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",27%
Slovenia,SI,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",34%
Slovakia,SK,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",33%
Finland,FI,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",3%
Sweden,SE,"Cybersecurity recruitment challenges: Share of companies mentioning lack of awareness about cybersecurity roles, %",35%
