Country,Abbr,Indicator,Data
Belgium,BE,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,18%
Bulgaria,BG,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,11%
Czechia,CZ,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,9%
Denmark,DK,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,12%
Germany,DE,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,15%
Estonia,EE,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,3%
Ireland,IE,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,12%
Greece,EL,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,21%
Spain,ES,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,12%
France,FR,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,11%
Croatia,HR,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,12%
Italy,IT,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,15%
Cyprus,CY,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,19%
Latvia,LV,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,9%
Lithuania,LT,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,14%
Luxembourg,LU,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,19%
Hungary,HU,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,10%
Malta,MT,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,16%
Netherlands,NL,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,17%
Austria,AT,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,15%
Poland,PL,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,11%
Portugal,PT,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,19%
Romania,RO,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,16%
Slovenia,SI,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,13%
Slovakia,SK,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,17%
Finland,FI,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,11%
Sweden,SE,Most critical Cybersecurity skills: Share of companies prioritising integration of cybersecurity solutions,23%
