Country,Abbr,Indicator,Data
Belgium,BE,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",15%
Bulgaria,BG,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",14%
Czechia,CZ,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",12%
Denmark,DK,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",10%
Germany,DE,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",25%
Estonia,EE,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",9%
Ireland,IE,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",15%
Greece,EL,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",14%
Spain,ES,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",18%
France,FR,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",10%
Croatia,HR,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",10%
Italy,IT,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",19%
Cyprus,CY,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",28%
Latvia,LV,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",14%
Lithuania,LT,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",18%
Luxembourg,LU,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",21%
Hungary,HU,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",12%
Malta,MT,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",10%
Netherlands,NL,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",28%
Austria,AT,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",33%
Poland,PL,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",10%
Portugal,PT,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",19%
Romania,RO,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",15%
Slovenia,SI,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",17%
Slovakia,SK,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",9%
Finland,FI,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",4%
Sweden,SE,"Pathways to cybersecurity employment: Share of companies recruited employees from a previous role in cyber security, %",14%
